TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.apache.avro.Schema,BRANCH,0.7008086253369272,742,513
org.apache.avro.Schema$Type,BRANCH,1.0,1,1
org.apache.avro.Schema$Field,BRANCH,0.8627450980392157,51,44
org.apache.avro.Schema$Parser,BRANCH,0.7083333333333334,24,14
org.apache.avro.Schema$SeenPair,BRANCH,1.0,8,8
